agent,type,column,category,subcategory,region,has_expression,has_inflows,has_outflows
vkm_metro_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_mot_pce,expression,,transport,traffic_activity_pce,city,True,False,False
vkm_mot_pce_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_motorcycle,expression,,transport,traffic_activity_city,city,True,False,False
vkm_motorcycle_EV,expression,,environment,energy_use,city,True,False,False
vkm_motorcycle_EV_r12,expression,,transport,electrified_activity,region 12,True,False,False
vkm_motorcycle_gasoline,expression,,environment,energy_use,city,True,False,False
vkm_motorcycle_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_motorcycle_tailpipe,expression,,environment,emissions_city,city,True,False,False
vkm_motorized_city,expression,,transport,traffic_activity_city,city,True,False,False
vkm_motorized_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_oth_pce,expression,,transport,traffic_activity_pce,city,True,False,False
vkm_oth_pce_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_oth_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_other,expression,,transport,traffic_activity_city,city,True,False,False
vkm_pce_total,expression,,transport,traffic,city,True,False,False
vkm_pce_total_hour,expression,,transport,congestion_capacity,city,True,False,False
vkm_pce_total_hour_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_pce_total_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_tax_pce,expression,,transport,traffic_activity_pce,city,True,False,False
vkm_tax_pce_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_taxi,expression,,transport,traffic_activity_city,city,True,False,False
vkm_taxi_CNG,expression,,environment,energy_use,city,True,False,False
vkm_taxi_EV,expression,,environment,energy_use,city,True,False,False
vkm_taxi_EV_r12,expression,,transport,electrified_activity,region 12,True,False,False
vkm_taxi_gasoline,expression,,environment,energy_use,city,True,False,False
vkm_taxi_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_taxi_tailpipe,expression,,environment,emissions_city,city,True,False,False
vkm_total_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkt_pc_ratio_r12_vs_city,expression,,transport,exposure,region 12,True,False,False
vkt_pce_per_capita_city,expression,,transport,exposure,city,True,False,False
vkt_pce_per_capita_r12,expression,,transport,exposure,region 12,True,False,False
CR_NO2_mortality,input,,social,health_impacts,city,False,False,False
CR_PM25_mortality_adult,input,,social,health_impacts,city,False,False,False
CR_PM25_mortality_child,input,,social,health_impacts,city,False,False,False
CR_PM25_respiratory_admission,input,,social,health_impacts,city,False,False,False
EF_CO2_CNG_kg_kg,input,,environment,climate_co2,city,False,False,False
EF_CO2_diesel_kg_litre,input,,environment,climate_co2,city,False,False,False
EF_CO2_gasoline_kg_litre,input,,environment,climate_co2,city,False,False,False
EF_CO2_grid_kg_kWh,input,,environment,climate_co2,city,False,False,False
EF_NOx_bus_g_km,input,,environment,emissions_city,city,False,False,False
EF_NOx_car_g_km,input,,environment,emissions_city,city,False,False,False
EF_NOx_motorcycle_g_km,input,,environment,emissions_city,city,False,False,False
EF_NOx_taxi_g_km,input,,environment,emissions_city,city,False,False,False
EF_PM25_bus_g_km,input,,environment,emissions_city,city,False,False,False
EF_PM25_car_g_km,input,,environment,emissions_city,city,False,False,False
EF_PM25_motorcycle_g_km,input,,environment,emissions_city,city,False,False,False
EF_PM25_taxi_g_km,input,,environment,emissions_city,city,False,False,False
EF_SO2_bus_g_km,input,,environment,emissions_city,city,False,False,False
EF_SO2_car_g_km,input,,environment,emissions_city,city,False,False,False
EF_SO2_motorcycle_g_km,input,,environment,emissions_city,city,False,False,False
EF_SO2_taxi_g_km,input,,environment,emissions_city,city,False,False,False
EF_grid_NOx_g_kWh,input,,environment,emissions_city,city,False,False,False
EF_grid_PM25_g_kWh,input,,environment,emissions_city,city,False,False,False
EF_grid_SO2_g_kWh,input,,environment,emissions_city,city,False,False,False
GDP_city_obs,input,GDP_city_IRR_year_truth,economic,macro,city,False,False,False
LHV_CNG_MJ_kg,input,,environment,energy_use,city,False,False,False
LHV_diesel_MJ_litre,input,,environment,energy_use,city,False,False,False
LHV_electricity_MJ_kWh,input,,environment,energy_use,city,False,False,False
LHV_gasoline_MJ_litre,input,,environment,energy_use,city,False,False,False
NO2_background_ugm3,input,,environment,air_quality,city,False,False,False
NO2_threshold_ugm3,input,,environment,air_quality,city,False,False,False
PM25_background_ugm3,input,,environment,air_quality,city,False,False,False
PM25_threshold_ugm3,input,,environment,air_quality,city,False,False,False
VOT_IRR_per_hour_base,input,,economic,external_costs,city,False,False,False
VSL_IRR,input,,social,health_impacts,city,False,False,False
YEAR_GRG,input,,time,calendar,city,False,False,False
acc_fatl_obs,input,acc_fatl_truth,social,safety,city,False,False,False
acc_serious_injuries,input,,social,safety,city,False,False,False
alpha_congestion_speed,input,,transport,congestion_capacity,city,False,False,False
alpha_delay_congestion,input,,transport,congestion,city,False,False,False
alpha_delay_congestion_r12,input,,transport,congestion,region 12,False,False,False
alpha_green_NO2,input,,environment,air_quality,city,False,False,False
alpha_green_PM25,input,,environment,air_quality,city,False,False,False
are_r12,input,,urban,land_use_structure,region 12,False,False,False
beta_noise_EV,input,,environment,noise_parameters,city,False,False,False
beta_noise_congestion,input,,environment,noise_parameters,city,False,False,False
beta_noise_green,input,,environment,noise_parameters,city,False,False,False
bike_percent_of_other,input,bike_percent_of_other_histcal,transport,mode_choice_city,city,False,False,False
brt_purchases_vehicles_year,input,brt_purchases_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
brt_retirements_vehicles_year,input,brt_retirements_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
brt_share_of_bus,input,brt_share_of_bus_histcal,transport,travel_demand,city,False,False,False
bus_fare_rate,input,bus_fare_rate_truth,economic,prices_inflation_fx,city,False,False,False
bus_fare_rate_base,input,,policy_ref,baseline,city,False,False,False
bus_purchases_vehicles_year,input,bus_purchases_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
bus_retirements_vehicles_year,input,bus_retirements_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
capacity_PCE_per_km_hour,input,,transport,congestion_capacity,city,False,False,False
capex_bike_infrastructure_IRR_per_km_base,input,,economic,capex,city,False,False,False
capex_brt_bus_EV_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_brt_bus_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_brt_infrastructure_IRR_per_km_base,input,,economic,capex,city,False,False,False
capex_bus_EV_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_bus_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_car_EV_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_car_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_metro_infrastructure_IRR_per_km_base,input,,economic,capex,city,False,False,False
capex_metro_train_IRR_per_trainset_base,input,,economic,capex,city,False,False,False
capex_parking_structure_IRR_per_space_base,input,,economic,capex,city,False,False,False
capex_road_upgrade_IRR_per_km_base,input,,economic,capex,city,False,False,False
capex_taxi_EV_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
capex_taxi_IRR_per_vehicle_base,input,,economic,capex,city,False,False,False
car_energy_closure_factor,input,car_energy_closure_factor_histcal,environment,energy_use,city,False,False,False
cars_per_trainset,input,,transport,metro,city,False,False,False
coef_k_commute,input,,policy_ref,coeff,city,False,False,False
coef_k_fare,input,,policy_ref,coeff,city,False,False,False
coef_k_fee,input,,policy_ref,coeff,city,False,False,False
coef_k_fuel,input,,policy_ref,coeff,city,False,False,False
coef_k_park,input,,policy_ref,coeff,region 12,False,False,False
coef_k_speed,input,,policy_ref,coeff,city,False,False,False
commute_management_multiplier,input,,policy,demand_management,city,False,False,False
commute_management_multiplier_base,input,,policy_ref,baseline,city,False,False,False
con_dst_r12,input,,transport,region12_performance,region 12,False,False,False
congestion_multiplier_r12,input,,transport,congestion,region 12,False,False,False
cost_hospital_day_IRR_base,input,,social,health_impacts,city,False,False,False
cost_of_carbon_IRR_t,input,,environment,climate_co2,city,False,False,False
cost_per_fatality_IRR,input,,social,safety,city,False,False,False
cost_per_serious_injury_IRR,input,,social,safety,city,False,False,False
days_per_year,input,,time,time_indexing,city,False,False,False
discount_rate_transport,input,,economic,capex,city,False,False,False
ecn_usd_base,input,,economic,prices_inflation_fx,city,False,False,False
ecn_usd_obs,input,ecn_usd_truth,economic,prices_inflation_fx,city,False,False,False
electricity_price_transport_IRR_kWh,input,,economic,prices_inflation_fx,city,False,False,False
energy_bus_EV_kWh_km,input,,environment,energy_use,city,False,False,False
energy_car_EV_kWh_km,input,,environment,energy_use,city,False,False,False
energy_metro_kWh_per_train_km_source,input,ENG_MET,environment,energy_use,city,False,False,False
energy_motorcycle_EV_kWh_km,input,,environment,energy_use,city,False,False,False
energy_taxi_EV_kWh_km,input,,environment,energy_use,city,False,False,False
fare_bus_behavior_IRR_trip,input,fare_bus_behavior_IRR_trip,economic,behavioral_price_proxy,city,False,False,False
fare_bus_observed_IRR_trip,input,FAR_BUS_PET_SUB,economic,fares_revenue,city,False,False,False
fare_bus_projection_base_IRR_trip,input,,economic,fares_revenue,city,False,False,False
fare_metro_behavior_IRR_trip,input,fare_metro_behavior_IRR_trip,economic,behavioral_price_proxy,city,False,False,False
fare_metro_observed_IRR_trip,input,FAR_MET_PET_SUB,economic,fares_revenue,city,False,False,False
fare_metro_projection_base_IRR_trip,input,,economic,fares_revenue,city,False,False,False
fare_rhc_IRR_trip_base,input,,economic,fares_revenue,city,False,False,False
fc_bus_diesel_litre_km,input,,environment,energy_use,city,False,False,False
fc_car_CNG_kg_km,input,,environment,energy_use,city,False,False,False
fc_car_gasoline_litre_km,input,,environment,energy_use,city,False,False,False
fc_motorcycle_gasoline_litre_km,input,,environment,energy_use,city,False,False,False
fc_taxi_CNG_kg_km,input,,environment,energy_use,city,False,False,False
fc_taxi_gasoline_litre_km,input,,environment,energy_use,city,False,False,False
fee_parking_IRR_per_space_hour_base,input,,economic,capex,city,False,False,False
fuel_price_CNG_IRR_kg,input,fuel_price_CNG_IRR_kg_truth,economic,prices_inflation_fx,city,False,False,False
fuel_price_diesel_IRR_litre,input,fuel_price_diesel_IRR_litre_truth,economic,prices_inflation_fx,city,False,False,False
fuel_price_gasoline_IRR_litre,input,fuel_price_gasoline_IRR_litre_truth,economic,prices_inflation_fx,city,False,False,False
fuel_price_multiplier,input,,policy,pricing,city,False,False,False
fuel_price_multiplier_base,input,,policy_ref,baseline,city,False,False,False
green_mitigation_floor,input,,environment,air_quality,city,False,False,False
green_parks_area_m2,input,,urban,green_public_space,city,False,False,False
green_parks_area_r12,input,,urban,green_public_space,region 12,False,False,False
green_space_share_cap,input,,environment,air_quality,city,False,False,False
green_streets_area_m2,input,,urban,green_public_space,city,False,False,False
green_streets_area_r12,input,,urban,green_public_space,region 12,False,False,False
household_income_per_capita_IRR_year,input,household_income_per_capita_IRR_year_truth,economic,macro,city,False,False,False
household_size,input,household_size_truth,social,demography,city,False,False,False
import_share_0,input,,economic,prices_inflation_fx,city,False,False,False
import_share_100,input,,economic,prices_inflation_fx,city,False,False,False
import_share_20,input,,economic,prices_inflation_fx,city,False,False,False
import_share_50,input,,economic,prices_inflation_fx,city,False,False,False
import_share_70,input,,economic,prices_inflation_fx,city,False,False,False
import_share_80,input,,economic,prices_inflation_fx,city,False,False,False
inflation_rate,input,inflation_rate_truth,economic,prices_inflation_fx,city,False,False,False
inflation_shock_factor,input,,economic,prices_inflation_fx,city,False,False,False
inflation_shock_start_year,input,,economic,prices_inflation_fx,city,False,False,False
job_r12,input,job_r12_truth,economic,macro,region 12,False,False,False
k_NO2_concentration_ugm3_per_t,input,,environment,air_quality,city,False,False,False
k_PM25_concentration_ugm3_per_t,input,,environment,air_quality,city,False,False,False
len_bik_obs_city,input,LEN_BIK,transport,infrastructure,city,False,False,False
len_brt_obs_city,input,len_brt,transport,infrastructure,city,False,False,False
len_brt_r12_obs,input,len_brt_r12,transport,network_supply,region 12,False,False,False
len_bus,input,len_bus,transport,network_supply,city,False,False,False
len_bus_r12_obs,input,len_bus_r12,transport,network_supply,region 12,False,False,False
len_hwy_obs_city,input,len_hwy,transport,infrastructure,city,False,False,False
len_hwy_r12_obs,input,len_hwy_r12,transport,network_supply,region 12,False,False,False
len_met_obs_city,input,len_met,transport,infrastructure,city,False,False,False
len_met_r12_obs,input,len_met_r12,transport,network_supply,region 12,False,False,False
lifetime_bus_years,input,,economic,capex,city,False,False,False
lifetime_car_years,input,,economic,capex,city,False,False,False
lifetime_infrastructure_years,input,,economic,capex,city,False,False,False
lifetime_metro_train_years,input,,economic,capex,city,False,False,False
metro_car_purchases_vehicles_year,input,metro_car_purchases_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
metro_car_retirements_vehicles_year,input,metro_car_retirements_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
metro_fare_rate,input,metro_fare_rate_truth,economic,prices_inflation_fx,city,False,False,False
metro_fare_rate_base,input,,policy_ref,baseline,city,False,False,False
municipal_budget_IRR_year,input,municipal_budget_IRR_year_truth,economic,budget,city,False,False,False
noise_base_cost_IRR_year,input,,impact,external_costs,city,False,False,False
occ_bus,input,,transport,vehicle_occupancy,city,False,False,False
occ_car,input,,transport,vehicle_occupancy,city,False,False,False
occ_met,input,,transport,vehicle_occupancy,city,False,False,False
occ_mot,input,,transport,vehicle_occupancy,city,False,False,False
occ_oth,input,,transport,vehicle_occupancy,city,False,False,False
occ_tax,input,,transport,vehicle_occupancy,city,False,False,False
online_taxi_active,input,online_taxi_active_truth,transport,ride_hailing,city,False,False,False
opex_BRT_EV_IRR_km_base,input,,economic,opex,city,False,False,False
opex_BRT_IRR_km_base,input,,economic,opex,city,False,False,False
opex_bus_EV_IRR_km_base,input,,economic,opex,city,False,False,False
opex_bus_IRR_km_base,input,,economic,opex,city,False,False,False
opex_car_EV_IRR_km_base,input,,economic,opex,city,False,False,False
opex_car_IRR_km_base,input,,economic,opex,city,False,False,False
opex_metro_IRR_km_base,input,,economic,opex,city,False,False,False
opex_parking_structure_IRR_per_space_base,input,,economic,capex,city,False,False,False
opex_taxi_EV_IRR_km_base,input,,economic,opex,city,False,False,False
opex_taxi_IRR_km_base,input,,economic,opex,city,False,False,False
parking_supply_multiplier_r12,input,,policy,parking,region 12,False,False,False
parking_supply_multiplier_r12_base,input,,policy_ref,baseline,region 12,False,False,False
parking_tot,input,,urban,land_use_structure,city,False,False,False
pce_bus,input,,transport,traffic_activity_pce,city,False,False,False
pce_car,input,,transport,traffic_activity_pce,city,False,False,False
pce_mot,input,,transport,traffic_activity_pce,city,False,False,False
pce_oth,input,,transport,traffic_activity_pce,city,False,False,False
pce_tax,input,,transport,traffic_activity_pce,city,False,False,False
pop_r12_obs,input,pop_r12_truth,social,demography,region 12,False,False,False
population_0_14,input,population_0_14_truth,social,demography,city,False,False,False
population_15_64,input,population_15_64_truth,social,demography,city,False,False,False
population_65_plus,input,population_65_plus_truth,social,demography,city,False,False,False
public_investment_rate_transport,input,,economic,macro,city,False,False,False
r12_speed_factor,input,,transport,service_speed,region 12,False,False,False
r12_voc_multiplier,input,,transport,congestion,region 12,False,False,False
region12_municipal_budget_share_of_tehran,input,,economic,macro,region 12,False,False,False
region12_traffic_plan_revenue_attribution_share,input,,economic,public_transport_finance,region 12,False,False,False
respiratory_admission_rate_base,input,,social,health_impacts,city,False,False,False
rhc_fare_rate,input,rhc_fare_rate_truth,economic,prices_inflation_fx,city,False,False,False
rhc_platform_commission_share,input,,economic,fares_revenue,city,False,False,False
share_CAPEX_bike_infra,input,,economic,capex,city,False,False,False
share_CAPEX_brt_infra,input,,economic,capex,city,False,False,False
share_CAPEX_metro_infra,input,,economic,capex,city,False,False,False
share_CAPEX_road,input,,economic,capex,city,False,False,False
share_brt_bus_EV,input,,environment,energy_use,city,False,False,False
share_brt_bus_diesel,input,,environment,energy_use,city,False,False,False
share_bus_EV,input,,environment,energy_use,city,False,False,False
share_bus_diesel,input,,environment,energy_use,city,False,False,False
share_car_CNG,input,share_car_CNG_histcal,environment,energy_use,city,False,False,False
share_car_EV,input,share_car_EV_histcal,environment,energy_use,city,False,False,False
share_motorcycle_EV,input,,environment,energy_use,city,False,False,False
share_rhc_of_taxi,input,share_rhc_of_taxi_city_truth,transport,ride_hailing,city,False,False,False
share_taxi_CNG_nonEV,input,,environment,energy_use,city,False,False,False
share_taxi_EV,input,,environment,energy_use,city,False,False,False
share_trips_city_tfp,input,,transport,traffic_regulation,city,False,False,False
spd_bus_freeflow,input,,transport,service_speed,city,False,False,False
spd_bus_freeflow_base,input,,policy_ref,baseline,city,False,False,False
spd_bus_history_calibration_factor,input,,transport,calibration,city,False,False,False
spd_car_city_calibration_factor,input,,transport,calibration,city,False,False,False
spd_car_freeflow,input,,transport,service_speed,city,False,False,False
spd_car_history_calibration_factor,input,,transport,calibration,city,False,False,False
spd_met,input,spd_met_histcal,transport,service_speed,city,False,False,False
spd_met_base,input,,policy_ref,baseline,city,False,False,False
spd_mot_freeflow,input,,transport,service_speed,city,False,False,False
spd_mot_history_calibration_factor,input,spd_mot_history_calibration_factor_histcal,transport,calibration,city,False,False,False
spd_oth_freeflow,input,,transport,service_speed,city,False,False,False
spd_tax_freeflow,input,,transport,service_speed,city,False,False,False
taxi_purchases_vehicles_year,input,taxi_purchases_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
taxi_retirements_vehicles_year,input,taxi_retirements_vehicles_year_truth,transport,fleet_stock_private,city,False,False,False
telework_rate_effective,input,,policy,telework,city,False,False,False
traffic_plan_fee_IRR_trip_base,input,,economic,policy_revenue,region 12,False,False,False
traffic_plan_fee_behavior_base_IRR_trip,input,traffic_plan_fee_behavior_base_IRR_trip,economic,behavioral_price_proxy,region 12,False,False,False
traffic_plan_fee_multiplier,input,,policy,pricing,city,False,False,False
traffic_plan_fee_multiplier_base,input,,policy_ref,baseline,city,False,False,False
traffic_plan_revenue_IRR_year_obs,input,,economic,policy_revenue,region 12,False,False,False
traffic_plan_revenue_collection_factor,input,,economic,public_transport_finance,city,False,False,False
traffic_plan_revenue_earmark_share_transport,input,,economic,public_transport_finance,city,False,False,False
transport_budget_share,input,,economic,macro,city,False,False,False
trip_length_km,input,,transport,travel_demand,city,False,False,False
trip_length_r12_km,input,,transport,travel_demand_region,region 12,False,False,False
trips_car_city_tfp_obs,input,trips_car_city_tfp_truth,transport,traffic_regulation,city,False,False,False
trips_per_person_per_day,input,,transport,travel_demand,city,False,False,False
trp_r12,input,trp_r12_truth,transport,travel_demand_region,region 12,False,False,False
trp_r12_tfp_obs,input,trp_r12_tfp_truth,transport,traffic_regulation,region 12,False,False,False
trp_tfp_obs,input,trp_tfp_truth,transport,traffic_regulation,city,False,False,False
trp_tps_city_obs,input,trp_tps_city_truth,transport,travel_demand_city,city,False,False,False
urban_area_km2,input,,urban,land_use_structure,city,False,False,False
modal_share_bus_ml,ml,,transport,mode_choice_city,city,False,False,False
modal_share_bus_r12_ml,ml,,transport,mode_choice_r12,region 12,False,False,False
modal_share_car_ml,ml,,transport,mode_choice_city,city,False,False,False
modal_share_car_r12_ml,ml,,transport,mode_choice_r12,region 12,False,False,False
modal_share_met_r12_ml,ml,,transport,mode_choice_region,region 12,False,False,False
modal_share_metro_ml,ml,,transport,mode_choice_city,city,False,False,False
modal_share_mot_r12_ml,ml,,transport,mode_choice_region,region 12,False,False,False
modal_share_motorcycle_ml,ml,,transport,mode_choice_city,city,False,False,False
modal_share_oth_r12_ml,ml,,transport,modal_share,region 12,False,False,False
modal_share_other_ml,ml,,transport,mode_choice_city,city,False,False,False
modal_share_tax_r12_ml,ml,,transport,modal_share,region 12,False,False,False
modal_share_taxi_ml,ml,,transport,mode_choice_city,city,False,False,False
brts_total,stock,,transport,fleet_stock_public,city,False,True,True
buses_total,stock,,transport,fleet_stock_public,city,False,True,True
cost_index_bus_fare,stock,,economic,prices_inflation_fx,city,False,True,False
cost_index_metro_fare,stock,,economic,prices_inflation_fx,city,False,True,False
cost_index_rhc_fare,stock,,economic,prices_inflation_fx,city,False,True,False
inflation_index_effective,stock,,economic,prices_inflation_fx,city,False,True,False
len_bik,stock,,transport,infrastructure,city,False,True,True
len_brt,stock,,transport,infrastructure,city,False,True,True
len_hwy,stock,,transport,infrastructure,city,False,True,True
len_met,stock,,transport,infrastructure,city,False,True,True
metro_cars_total,stock,,transport,fleet_stock_public,city,False,True,True
motorcycles_total,stock,,transport,fleet_stock_private,city,False,True,True
population_city,stock,,social,demography,city,False,True,True
private_cars_total,stock,,transport,fleet_stock_private,city,False,True,True
taxis_total,stock,,transport,fleet_stock_public,city,False,True,True
transport_financial_balance_IRR,stock,,economic,macro,city,False,True,True
